task,model,execution_model,role,unit,split,dataset,bundle_path,sha256
T2,scGPT,scGPT,method,D454,C2_soskic_LODO_D454,,predictions/C2/C2__scGPT__C2_soskic_LODO_D454.npz,30b1029b105b6358af305e777a8a721da81d049a4a4d548311ca3e8cefcd0840
T2,scGPT,scGPT,method,D455,C2_soskic_LODO_D455,,predictions/C2/C2__scGPT__C2_soskic_LODO_D455.npz,290b809aea2f47a8a705436c52c710cc2237b34cd413634707e66173557d5c5d
T2,scGPT,scGPT,method,D456,C2_soskic_LODO_D456,,predictions/C2/C2__scGPT__C2_soskic_LODO_D456.npz,64fb952eca92ac745eea28d2f92f748e261744d00165e690d18f248526a773d7
T2,scGPT,scGPT,method,D457,C2_soskic_LODO_D457,,predictions/C2/C2__scGPT__C2_soskic_LODO_D457.npz,240b7aa91001f334978e5aff5e880fe73d7a03b75becaabdba5a2e2b0e3ec7a4
T2,scGPT,scGPT,method,D458,C2_soskic_LODO_D458,,predictions/C2/C2__scGPT__C2_soskic_LODO_D458.npz,4ae3aca26683c72d79ff70e2532e023e1cbdd86c8ee9a6036e244971a4c841fc
T2,scGPT,scGPT,method,D459,C2_soskic_LODO_D459,,predictions/C2/C2__scGPT__C2_soskic_LODO_D459.npz,8740773ec358be94a1cc52f6bb0474aea119cc160753fc21557ac02fd8fb6ade
T2,scGPT,scGPT,method,D460,C2_soskic_LODO_D460,,predictions/C2/C2__scGPT__C2_soskic_LODO_D460.npz,4097e8ab6e268b6652c8e6a1b8c54ce4d88d7f5316cb640876e72cf21df9819a
T2,scGPT,scGPT,method,D461,C2_soskic_LODO_D461,,predictions/C2/C2__scGPT__C2_soskic_LODO_D461.npz,a8ff457c6c123a68a18dc70acc294173051f3566bf8a13b995095a391df3335a
T2,scGPT,scGPT,method,D462,C2_soskic_LODO_D462,,predictions/C2/C2__scGPT__C2_soskic_LODO_D462.npz,758c92deadc0654f040065b803d3701256a78af6700d3775549cc6be262f1b44
T2,scGPT,scGPT,method,D463,C2_soskic_LODO_D463,,predictions/C2/C2__scGPT__C2_soskic_LODO_D463.npz,32eeb2db610ad4700d6831d410d3b5ef143c94096ee608d55216003b78672911
T2,scGPT,scGPT,method,D464,C2_soskic_LODO_D464,,predictions/C2/C2__scGPT__C2_soskic_LODO_D464.npz,21c8f0951fcd9c8aad207e937c7ce3fd448a2fa0faa6194657a9d2c8b1660fb0
T2,scGPT,scGPT,method,D465,C2_soskic_LODO_D465,,predictions/C2/C2__scGPT__C2_soskic_LODO_D465.npz,999e6c008a7c2f64d8838cc42ea007a653fe42edae55ca3159aea3e05c07300d
T2,scGPT,scGPT,method,D466,C2_soskic_LODO_D466,,predictions/C2/C2__scGPT__C2_soskic_LODO_D466.npz,f9ef19b5359acc8891948ff0b537c7ebaf31ab5f01a3046c919e5263f5e56e98
T2,scGPT,scGPT,method,D481,C2_soskic_LODO_D481,,predictions/C2/C2__scGPT__C2_soskic_LODO_D481.npz,b8255e92a6d4b1d72c4b8fe9260a399c7389908e275f09eaaa5985f5884cd970
T2,scGPT,scGPT,method,D482,C2_soskic_LODO_D482,,predictions/C2/C2__scGPT__C2_soskic_LODO_D482.npz,86f8f6f61577d5315ecbf85998ce45835a6e014d8c2f8f329a91a046af1aadb2
T2,scGPT,scGPT,method,D483,C2_soskic_LODO_D483,,predictions/C2/C2__scGPT__C2_soskic_LODO_D483.npz,4b4a2bbda1edf011224b50b00738ff14e59224e8cf564209e0d75e3b5833c945
T2,scGPT,scGPT,method,D484,C2_soskic_LODO_D484,,predictions/C2/C2__scGPT__C2_soskic_LODO_D484.npz,9873080588211310039484b14a7a9c8a7f9e15840cdb4d9bb25e71875a921222
T2,scGPT,scGPT,method,D485,C2_soskic_LODO_D485,,predictions/C2/C2__scGPT__C2_soskic_LODO_D485.npz,d6e07b3e29f6bd4b0148f80206faf65145e36cf98bc616a1350173099a760364
T2,scPRAM,scPRAM,method,D348,C2_soskic_LODO_D348,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D348.npz,744d26bb80edee7de2b4756055dcdbb96d1ef6bc421467abf3250ae0c854edc0
T2,scPRAM,scPRAM,method,D349,C2_soskic_LODO_D349,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D349.npz,14b23dc8d63aefd0e58e526c2627a3746193214dd70d5b325a3fae50b0b33359
T2,scPRAM,scPRAM,method,D350,C2_soskic_LODO_D350,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D350.npz,5a9c683301604687a454ee66c8b836a7aa859fdccf44d24613e2dafbc51d7b05
T2,scPRAM,scPRAM,method,D351,C2_soskic_LODO_D351,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D351.npz,8a69b578d23d04282ada584b6fcc2af3593f5b3c0f935b7bb1c853a001d47899
T2,scPRAM,scPRAM,method,D352,C2_soskic_LODO_D352,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D352.npz,454869d3370e6d29b43021a7cd11a0f8f003c6a1d6bc9bb595fb33675bd64b3c
T2,scPRAM,scPRAM,method,D353,C2_soskic_LODO_D353,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D353.npz,13bfe508c330d06d236b560a18dc294e176778f196bd13556d0af2942633c3e7
T2,scPRAM,scPRAM,method,D354,C2_soskic_LODO_D354,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D354.npz,3bdd7eebead8636ec04fa6058aeb407e189d4433803cbf8ab51713c1f33296d5
T2,scPRAM,scPRAM,method,D355,C2_soskic_LODO_D355,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D355.npz,223bc81f41afaae3b0de6ca3783a1c29213ef31f118eb0e5357610a7de96bd93
T2,scPRAM,scPRAM,method,D356,C2_soskic_LODO_D356,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D356.npz,dc0665c75ee59714781600c0635ee473d8ba173eb89f80969be0a07203f1d314
T2,scPRAM,scPRAM,method,D357,C2_soskic_LODO_D357,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D357.npz,36ea57624efdd74fb5292fabbd7dfe7ef06fe433c5eef221a3e688c108671cae
T2,scPRAM,scPRAM,method,D358,C2_soskic_LODO_D358,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D358.npz,242c558de3fde0780cf38ce5d22811869b679aa6ff61611ee50d223fbc1a44ff
T2,scPRAM,scPRAM,method,D359,C2_soskic_LODO_D359,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D359.npz,593fc6ee46eb48704204e767e71f723da9331e0cce29e2f79244be14d601d532
T2,scPRAM,scPRAM,method,D363,C2_soskic_LODO_D363,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D363.npz,7ce5c94cdd6e43832a0f9a0763a4a50dc89b1ec91e681c84c0893ef0386d902c
T2,scPRAM,scPRAM,method,D364,C2_soskic_LODO_D364,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D364.npz,957e65dab6db6feab12e38f1997e9b36a43fda4049daedf9d2996950a5d590f4
T2,scPRAM,scPRAM,method,D365,C2_soskic_LODO_D365,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D365.npz,f9945450f92b6272ecb53b84820765ff4844e2c6ba79b17468a1f94d4899e114
T2,scPRAM,scPRAM,method,D366,C2_soskic_LODO_D366,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D366.npz,d55c73cd3591fe2b78ec86d4da1923f9a494c10e86e723bd039e9198e7ec47c8
T2,scPRAM,scPRAM,method,D367,C2_soskic_LODO_D367,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D367.npz,b00c7def67e38dea0c68f2be252387e310ae50f84ae56dcee58527df653327d4
T2,scPRAM,scPRAM,method,D368,C2_soskic_LODO_D368,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D368.npz,2c14ebd49b0adb099d5a460c7002cf2a0c1c414d3f3650ab4a8a77dd8241a198
T2,scPRAM,scPRAM,method,D369,C2_soskic_LODO_D369,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D369.npz,f7d4eb3df3c022e5630351fc17d2acd95316204ddfe2ba4da5d171e049c0986f
T2,scPRAM,scPRAM,method,D370,C2_soskic_LODO_D370,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D370.npz,10c24fdfdc244e217d5188e79451ac581896ebc48abc45e805ae0024d576d456
T2,scPRAM,scPRAM,method,D371,C2_soskic_LODO_D371,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D371.npz,f83b77fa5bc3a125bc2a3ce639e04b2dc6da5e05f2464d4fcd33d5bf42c2dda7
T2,scPRAM,scPRAM,method,D372,C2_soskic_LODO_D372,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D372.npz,a9f6ae59493329de782034c1a27e77db4d9dd4428c65112cbdd10ebeb6e32653
T2,scPRAM,scPRAM,method,D373,C2_soskic_LODO_D373,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D373.npz,04b3cffddb8ff7a4be95514b8fb44328be0062e1b23e7b47cb4a0f8b001664bc
T2,scPRAM,scPRAM,method,D374,C2_soskic_LODO_D374,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D374.npz,b6032b0a60c861643d31028f078b939baaca1c52d3ec3d86ec57ef34fa28500d
T2,scPRAM,scPRAM,method,D378,C2_soskic_LODO_D378,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D378.npz,240e30f8cafb0592f8fe7bd6d7c2ca59ecd3deb835266f2f9b3f88ce0cdad643
T2,scPRAM,scPRAM,method,D379,C2_soskic_LODO_D379,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D379.npz,852b9aa8232770e8ba219f5463166a973361d16a22fdbad31d098ee123ed6a10
T2,scPRAM,scPRAM,method,D380,C2_soskic_LODO_D380,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D380.npz,69c447cc17aa87f4905f4a5b3b92e064fd2f0917498eb86d51a3496624a2b060
T2,scPRAM,scPRAM,method,D381,C2_soskic_LODO_D381,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D381.npz,dda803079d2d8ee82980bf591db43b6146da15bf4c34152ec7fd8e385f1acafa
T2,scPRAM,scPRAM,method,D382,C2_soskic_LODO_D382,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D382.npz,ae1eff2683ff6cf0bd844e419660636d6fd4e9108efaa15dad013c6ec81979b5
T2,scPRAM,scPRAM,method,D383,C2_soskic_LODO_D383,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D383.npz,606ff6edc788e4c946502b1aa1c68014b782b964d7752c7d4524ec0074755cfa
T2,scPRAM,scPRAM,method,D387,C2_soskic_LODO_D387,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D387.npz,98212a2ccce25dd65fa5603fbfe479ce52d11c7ea4e6c12cf1733e1c288975a6
T2,scPRAM,scPRAM,method,D388,C2_soskic_LODO_D388,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D388.npz,e16a46c634bd61f7e7af71dc8be7e3253881bb37342f75a4628ce4604f66c95e
T2,scPRAM,scPRAM,method,D389,C2_soskic_LODO_D389,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D389.npz,1bcc3f8739c354cace6a0834b17d978e238cc10521783bb1ac22c71ab94b89fe
T2,scPRAM,scPRAM,method,D390,C2_soskic_LODO_D390,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D390.npz,774a894bb17199ab48cefc2146f04dd6733a0b7616cb005bf42016b2a6f08cc3
T2,scPRAM,scPRAM,method,D391,C2_soskic_LODO_D391,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D391.npz,526883d8e35137891c68cb9aba2de2a727adf43cb81f422a5fc5670011369a62
T2,scPRAM,scPRAM,method,D392,C2_soskic_LODO_D392,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D392.npz,2a7ff415e1109f32e1b65ddab7071a295a7e8c12ba6eff81e85e487a38a8e4b6
T2,scPRAM,scPRAM,method,D393,C2_soskic_LODO_D393,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D393.npz,e43d1086c9653686b4531fa711ae7fb7fea2c98d7bbe45c29fff061d04b7018b
T2,scPRAM,scPRAM,method,D394,C2_soskic_LODO_D394,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D394.npz,b166267765bc5db9eeb07ec5ce80aa0538930a7b75f5a0fb40a302c6ec21693e
T2,scPRAM,scPRAM,method,D395,C2_soskic_LODO_D395,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D395.npz,2b157cbc47f99999a4af7dbc2ea8bdbcd72dfd95ef093c159f355631c0c09e24
T2,scPRAM,scPRAM,method,D396,C2_soskic_LODO_D396,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D396.npz,8e5c06c0d26e21ba0f363414a07008dbe31d56796dbbe37e1cc5b405ef139139
T2,scPRAM,scPRAM,method,D397,C2_soskic_LODO_D397,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D397.npz,fb50c78e91c70936d29cdaec802930244f1199416530762f93cadf8b669e00f3
T2,scPRAM,scPRAM,method,D398,C2_soskic_LODO_D398,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D398.npz,de97cf34ff05e97bbd59c4db8e8d549ef2e35ec398583248f72a4e3dc6404842
T2,scPRAM,scPRAM,method,D405,C2_soskic_LODO_D405,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D405.npz,016710408dd1f9e051db3ffbe674cf3e46c800ccf18129d750e3f2ad57998e76
T2,scPRAM,scPRAM,method,D406,C2_soskic_LODO_D406,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D406.npz,be8eacb62abe8525e46df56591e4c0faa91e8c3565e744e02530142872d0f1bc
T2,scPRAM,scPRAM,method,D407,C2_soskic_LODO_D407,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D407.npz,8358fa339f1961aa71081b9121d64b41bd9ecad850ce494af6a88cc88fd2f599
T2,scPRAM,scPRAM,method,D408,C2_soskic_LODO_D408,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D408.npz,213d586a2083c9de6141d7ecd8761f9ad24afce97006d278eff1b0c7dbe58398
T2,scPRAM,scPRAM,method,D409,C2_soskic_LODO_D409,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D409.npz,76f7f236fa048f516f67e2fd4049c5269c02ee4aad6d3e6c602f7e0c87b2ebd1
T2,scPRAM,scPRAM,method,D410,C2_soskic_LODO_D410,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D410.npz,3a035f882f75b8275625188c94c73fe242ed62c2e0b5c86f0058ffd2ce8e96e1
T2,scPRAM,scPRAM,method,D411,C2_soskic_LODO_D411,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D411.npz,7843e7969a5c800e7014817b8ae770526165f2940fce04e1cf6e86125a8c6449
T2,scPRAM,scPRAM,method,D412,C2_soskic_LODO_D412,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D412.npz,c3e319a9980d694a7353bed8138fda181fb1370217593ae3d7af1b6ad31f61a8
T2,scPRAM,scPRAM,method,D413,C2_soskic_LODO_D413,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D413.npz,068301c1f40597a62cbc86c8152bdc10c030462a2d6dc0ae1f71c4ed595192a1
T2,scPRAM,scPRAM,method,D414,C2_soskic_LODO_D414,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D414.npz,f3c11fed37e8ebc3de82d26ffa10bec20c616ffa3405cff8b5b6b66e6953137a
T2,scPRAM,scPRAM,method,D415,C2_soskic_LODO_D415,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D415.npz,c46da137819976ce92a0ff044a2ff9fd269489147b9b195fdc8031648096706d
T2,scPRAM,scPRAM,method,D416,C2_soskic_LODO_D416,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D416.npz,fc8e550156e2d781065790ad3aabbc2c8d63f5bffe43ab6ebfd26c52884f1e16
T2,scPRAM,scPRAM,method,D417,C2_soskic_LODO_D417,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D417.npz,01c82475d97cc2ad2e9a767b9a24a0e9fb72dd4e4f990b6df3c76020b735346a
T2,scPRAM,scPRAM,method,D418,C2_soskic_LODO_D418,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D418.npz,fcba0eff325ae94967363d0f8867ee02c4980fbb992ade93fa6d87e6dadfc987
T2,scPRAM,scPRAM,method,D419,C2_soskic_LODO_D419,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D419.npz,45dc9755e002759463de4cab8918bdae0329b20e20eb848b3ee0717e5a2b889e
T2,scPRAM,scPRAM,method,D420,C2_soskic_LODO_D420,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D420.npz,58fc4f793a095c6230205d502d42c658921a8e48e85deda557dfbf279f0916fc
T2,scPRAM,scPRAM,method,D421,C2_soskic_LODO_D421,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D421.npz,8b19a3ea0adbbdd73791c1844e6f07416e73d675eb2a1b5cc3aec11dc930c65a
T2,scPRAM,scPRAM,method,D422,C2_soskic_LODO_D422,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D422.npz,692c8fd19d1d861267a39ff538a37bce1ca5ed2da3728190f33c2b0aa56a0932
T2,scPRAM,scPRAM,method,D423,C2_soskic_LODO_D423,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D423.npz,c61d82173319f0bcb5d8639ee05c20877d381e91992755ef6c757ad1de265b59
T2,scPRAM,scPRAM,method,D424,C2_soskic_LODO_D424,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D424.npz,bd11cd9bba4c3936736a0554f1476210ffcc1f027840be714071efb65c80ad42
T2,scPRAM,scPRAM,method,D425,C2_soskic_LODO_D425,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D425.npz,79efb6dcd11099dfc1c95c7bfe56304ad3c39b70af94a5c29d2aedf3f9d1bb5c
T2,scPRAM,scPRAM,method,D426,C2_soskic_LODO_D426,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D426.npz,7c39be25688003098a6d57df907240465199019cd0b7a997cc2d4293cc3c0df2
T2,scPRAM,scPRAM,method,D427,C2_soskic_LODO_D427,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D427.npz,48ae05d85f35f113849a7892d64e1d5a19a5ed994ee891cb1c0570e5cbce36a9
T2,scPRAM,scPRAM,method,D428,C2_soskic_LODO_D428,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D428.npz,e6e387573d82ecdc15a98ea6b23a7343d9d6c3ba7264652d51fb582559efacf2
T2,scPRAM,scPRAM,method,D429,C2_soskic_LODO_D429,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D429.npz,4944402b369ebedcd34ea258e9bff6eb93b2042bcaefd4a91feadea41c04cfcb
T2,scPRAM,scPRAM,method,D430,C2_soskic_LODO_D430,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D430.npz,4798b722d85a7d12c1cc951ccc114b5ce0cbe32c81240ca2e472c2f7e36311b4
T2,scPRAM,scPRAM,method,D431,C2_soskic_LODO_D431,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D431.npz,7cd52cccaba2587bd55308c6307a0b52e5a68b736d39fbdde86d496abcb42236
T2,scPRAM,scPRAM,method,D432,C2_soskic_LODO_D432,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D432.npz,140303d557b88017e8306dc418979e651c42c585e2f16f535319ae851ff6de91
T2,scPRAM,scPRAM,method,D433,C2_soskic_LODO_D433,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D433.npz,706b85696c5b0c3649f653e12a5c18de295e540e59a1db31c38b41d534926a7d
T2,scPRAM,scPRAM,method,D434,C2_soskic_LODO_D434,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D434.npz,df6e89729d67e80aec87f8c068027bc3783ed4241b3e95b9cfebbee695ea0ea8
T2,scPRAM,scPRAM,method,D435,C2_soskic_LODO_D435,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D435.npz,1884105d0d74f7997eb8154a476280cdb65781a66ad18549b647fc095055b5ff
T2,scPRAM,scPRAM,method,D436,C2_soskic_LODO_D436,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D436.npz,1d84e1ca2a24d7ef56178fca014d0395aa92dc930525f7bed60fd6503e6d257b
T2,scPRAM,scPRAM,method,D439,C2_soskic_LODO_D439,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D439.npz,7b0818d4c74ed8edae92c7829fc3bf25b28f0b04cf6796d26e454be3f3ba1af4
T2,scPRAM,scPRAM,method,D440,C2_soskic_LODO_D440,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D440.npz,615666ae6fe7813755cb36b537d783447455a78522e5ba1bda51918cc38b8d74
T2,scPRAM,scPRAM,method,D441,C2_soskic_LODO_D441,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D441.npz,1872c85f2477f2947bdef1a8b57a6ce3db62ee6ed74f2315422ee877cf4b0411
T2,scPRAM,scPRAM,method,D442,C2_soskic_LODO_D442,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D442.npz,567fd2404ef607f5a81b8db34f5a5730d5cd22da54d3e6ed95891572706267a4
T2,scPRAM,scPRAM,method,D443,C2_soskic_LODO_D443,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D443.npz,3a45cc6dd59f8ce78767656a205eccf9aed1b2a7fb51e25d5fa91c1cb2ce7747
T2,scPRAM,scPRAM,method,D445,C2_soskic_LODO_D445,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D445.npz,ddadcd0caa0ae097b084903d23561fa98bdf5df6f635779c10985b2966526f2f
T2,scPRAM,scPRAM,method,D446,C2_soskic_LODO_D446,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D446.npz,01ce5708a1cc82d67cdce2c996bc3f15863ad9f832b2798e3d7504a2919bf72b
T2,scPRAM,scPRAM,method,D447,C2_soskic_LODO_D447,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D447.npz,17348fedc3bc282a0206ac6cb60b97618d6921dcd7f29c62bc5ad6b1accc067f
T2,scPRAM,scPRAM,method,D448,C2_soskic_LODO_D448,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D448.npz,d7e4e13ad5cf9649e43c0de1823b2f78a1e7e3ae5fa5baca44b05c3d6493971b
T2,scPRAM,scPRAM,method,D449,C2_soskic_LODO_D449,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D449.npz,be8128a22e6fb36eca4320a1958742e4b7407bcd6b7e5e9674698e2f43d22c15
T2,scPRAM,scPRAM,method,D450,C2_soskic_LODO_D450,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D450.npz,07a540ef9b8b25f0489dd0113031484af2d8fd4ebfff65c848c28bd69440ce89
T2,scPRAM,scPRAM,method,D451,C2_soskic_LODO_D451,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D451.npz,0aed0fc159817c582937d369f9aa0854c01195fb54dc6d9def354709705c8286
T2,scPRAM,scPRAM,method,D452,C2_soskic_LODO_D452,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D452.npz,4d3407ff99ef716104cc269f643fe80dfae0ffb15f568d1c3b117b9495312873
T2,scPRAM,scPRAM,method,D453,C2_soskic_LODO_D453,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D453.npz,40d6cfa9e2cefdb7377fd0dbe31f773d36893b12357c32cdf6d56fd3d77a0768
T2,scPRAM,scPRAM,method,D454,C2_soskic_LODO_D454,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D454.npz,6ed51765422f4f08be2ddefd6e363688302d9223977cb9c0fa9b7be32f7ed0ef
T2,scPRAM,scPRAM,method,D455,C2_soskic_LODO_D455,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D455.npz,4e835e27717e8b97b5e151858ca6601a9c58ca9222347a9fb372a8daafe5b6a3
T2,scPRAM,scPRAM,method,D456,C2_soskic_LODO_D456,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D456.npz,7daadb3391be7a8136c8ba0406d9ca0fbc4d933b964537dc9b4d0457c4107c0e
T2,scPRAM,scPRAM,method,D457,C2_soskic_LODO_D457,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D457.npz,6e4c314849677f8b142e177e39ab75e1547c1ffd4d275f6eb70a415846e25d19
T2,scPRAM,scPRAM,method,D458,C2_soskic_LODO_D458,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D458.npz,431b5d16dd5e70e700382d60210afea8c29e0195d39379312f8800d58713ba9a
T2,scPRAM,scPRAM,method,D459,C2_soskic_LODO_D459,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D459.npz,efcebc68e795e3a30095b84ea01406a9ad517b7c710f11f392a74ec00e4451a3
T2,scPRAM,scPRAM,method,D460,C2_soskic_LODO_D460,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D460.npz,ea31a9d71aec7556e2cbcd3361c2e4f519d4175ab2d602cab5840b7866c81640
T2,scPRAM,scPRAM,method,D461,C2_soskic_LODO_D461,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D461.npz,15fa6276078cb6bf6d08e69e563c19e54930fefb16e6d03032b8e79dab1ad048
T2,scPRAM,scPRAM,method,D462,C2_soskic_LODO_D462,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D462.npz,cd772e3eb7a1c28eadaef193a2c4507fc3e36df760a76851312ea1db13c0e09b
T2,scPRAM,scPRAM,method,D463,C2_soskic_LODO_D463,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D463.npz,d24cf8671c7dd83f1c6f0757ebaf8f49eed508dcdf712ec5866fb98568b96f9e
T2,scPRAM,scPRAM,method,D464,C2_soskic_LODO_D464,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D464.npz,b9c8a9ca09887c5ef3b771535e6d9ca09989d77ce153c90eab374ec1854f907f
T2,scPRAM,scPRAM,method,D465,C2_soskic_LODO_D465,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D465.npz,3b9a15c0ffc5050a55b9807c22be928723633e43a9745a97e8f602ac455684e1
T2,scPRAM,scPRAM,method,D466,C2_soskic_LODO_D466,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D466.npz,55545f8f48cf5493bf5a23a32c3be0d765ac89e711638108a9e4489f08dafe90
T2,scPRAM,scPRAM,method,D481,C2_soskic_LODO_D481,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D481.npz,dd887da494251d74cae65ec7d4bb5db01135a676e5551243c029ca81ff98fda8
T2,scPRAM,scPRAM,method,D482,C2_soskic_LODO_D482,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D482.npz,55b87604e89ba192dace73a945d6c3e493cdaf577c17b5bc77767e5abb7601fa
T2,scPRAM,scPRAM,method,D483,C2_soskic_LODO_D483,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D483.npz,436a8b94a0879f08e4306879d91489ec2320b6c5159c7ae464affb3cd0603aea
T2,scPRAM,scPRAM,method,D484,C2_soskic_LODO_D484,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D484.npz,ccf3f8f7bb7ce71eef04e5b7302b6e14c74109e965f10996e2acda90102c6615
T2,scPRAM,scPRAM,method,D485,C2_soskic_LODO_D485,,predictions/C2/C2__scPRAM__C2_soskic_LODO_D485.npz,66067e83f4f1a4641a157d4198b6d8385755a82b924dd665fbd0b49934209ac0
T2,CellFlow,CellFlow,method,D348,C2_lodo_D348,None,predictions/C2_metric_aligned/C2_LODO__CellFlow__C2_lodo_D348.npz,aa7f7fdfbe0840052a85f9f2376ad5cccec0492203a2ab40c828bf30b3224af1
T2,CellFlow,CellFlow,method,D349,C2_lodo_D349,None,predictions/C2_metric_aligned/C2_LODO__CellFlow__C2_lodo_D349.npz,46d3e44bffa16f20a42d0f0aa577921ed233bc040e820f89181fc7342a76e373
